Name,ID
Arts & Entertainment,4d4b7104d754a06370d81259
Amphitheater,56aa371be4b08b9a8d5734db
Aquarium,4fceea171983d5d06c3e9823
Arcade,4bf58dd8d48988d1e1931735
Art Gallery,4bf58dd8d48988d1e2931735
Bowling Alley,4bf58dd8d48988d1e4931735
Casino,4bf58dd8d48988d17c941735
Circus,52e81612bcbc57f1066b79e7
Comedy Club,4bf58dd8d48988d18e941735
Concert Hall,5032792091d4c4b30a586d5c
Country Dance Club,52e81612bcbc57f1066b79ef
Disc Golf,52e81612bcbc57f1066b79e8
Exhibit,56aa371be4b08b9a8d573532
General Entertainment,4bf58dd8d48988d1f1931735
Go Kart Track,52e81612bcbc57f1066b79ea
Historic Site,4deefb944765f83613cdba6e
Karaoke Box,5744ccdfe4b0c0459246b4bb
Laser Tag,52e81612bcbc57f1066b79e6
Memorial Site,5642206c498e4bfca532186c
Mini Golf,52e81612bcbc57f1066b79eb
Movie Theater,4bf58dd8d48988d17f941735
Drive-in Theater,56aa371be4b08b9a8d5734de
Indie Movie Theater,4bf58dd8d48988d17e941735
Multiplex,4bf58dd8d48988d180941735
Museum,4bf58dd8d48988d181941735
Art Museum,4bf58dd8d48988d18f941735
Erotic Museum,559acbe0498e472f1a53fa23
History Museum,4bf58dd8d48988d190941735
Planetarium,4bf58dd8d48988d192941735
Science Museum,4bf58dd8d48988d191941735
Music Venue,4bf58dd8d48988d1e5931735
Jazz Club,4bf58dd8d48988d1e7931735
Piano Bar,4bf58dd8d48988d1e8931735
Rock Club,4bf58dd8d48988d1e9931735
Pachinko Parlor,5744ccdfe4b0c0459246b4b8
Performing Arts Venue,4bf58dd8d48988d1f2931735
Dance Studio,4bf58dd8d48988d134941735
Indie Theater,4bf58dd8d48988d135941735
Opera House,4bf58dd8d48988d136941735
Theater,4bf58dd8d48988d137941735
Pool Hall,4bf58dd8d48988d1e3931735
Public Art,507c8c4091d498d9fc8c67a9
Outdoor Sculpture,52e81612bcbc57f1066b79ed
Street Art,52e81612bcbc57f1066b79ee
Racecourse,56aa371be4b08b9a8d573514
Racetrack,4bf58dd8d48988d1f4931735
Roller Rink,52e81612bcbc57f1066b79e9
Salsa Club,52e81612bcbc57f1066b79ec
Samba School,56aa371be4b08b9a8d5734f9
Stadium,4bf58dd8d48988d184941735
Baseball Stadium,4bf58dd8d48988d18c941735
Basketball Stadium,4bf58dd8d48988d18b941735
Cricket Ground,4bf58dd8d48988d18a941735
Football Stadium,4bf58dd8d48988d189941735
Hockey Arena,4bf58dd8d48988d185941735
Rugby Stadium,56aa371be4b08b9a8d573556
Soccer Stadium,4bf58dd8d48988d188941735
Tennis Stadium,4e39a891bd410d7aed40cbc2
Track Stadium,4bf58dd8d48988d187941735
Theme Park,4bf58dd8d48988d182941735
Theme Park Ride / Attraction,5109983191d435c0d71c2bb1
Tour Provider,56aa371be4b08b9a8d573520
Water Park,4bf58dd8d48988d193941735
Zoo,4bf58dd8d48988d17b941735
Zoo Exhibit,58daa1558bbb0b01f18ec1fd
College & University,4d4b7105d754a06372d81259
College Academic Building,4bf58dd8d48988d198941735
College Arts Building,4bf58dd8d48988d199941735
College Communications Building,4bf58dd8d48988d19a941735
College Engineering Building,4bf58dd8d48988d19e941735
College History Building,4bf58dd8d48988d19d941735
College Math Building,4bf58dd8d48988d19c941735
College Science Building,4bf58dd8d48988d19b941735
College Technology Building,4bf58dd8d48988d19f941735
College Administrative Building,4bf58dd8d48988d197941735
College Auditorium,4bf58dd8d48988d1af941735
College Bookstore,4bf58dd8d48988d1b1941735
College Cafeteria,4bf58dd8d48988d1a1941735
College Classroom,4bf58dd8d48988d1a0941735
College Gym,4bf58dd8d48988d1b2941735
College Lab,4bf58dd8d48988d1a5941735
College Library,4bf58dd8d48988d1a7941735
College Quad,4bf58dd8d48988d1aa941735
College Rec Center,4bf58dd8d48988d1a9941735
College Residence Hall,4bf58dd8d48988d1a3941735
College Stadium,4bf58dd8d48988d1b4941735
College Baseball Diamond,4bf58dd8d48988d1bb941735
College Basketball Court,4bf58dd8d48988d1ba941735
College Cricket Pitch,4bf58dd8d48988d1b9941735
College Football Field,4bf58dd8d48988d1b8941735
College Hockey Rink,4bf58dd8d48988d1b5941735
College Soccer Field,4bf58dd8d48988d1b7941735
College Tennis Court,4e39a9cebd410d7aed40cbc4
College Track,4bf58dd8d48988d1b6941735
College Theater,4bf58dd8d48988d1ac941735
Community College,4bf58dd8d48988d1a2941735
Fraternity House,4bf58dd8d48988d1b0941735
General College & University,4bf58dd8d48988d1a8941735
Law School,4bf58dd8d48988d1a6941735
Medical School,4bf58dd8d48988d1b3941735
Sorority House,4bf58dd8d48988d141941735
Student Center,4bf58dd8d48988d1ab941735
Trade School,4bf58dd8d48988d1ad941735
University,4bf58dd8d48988d1ae941735
Event,4d4b7105d754a06373d81259
Christmas Market,52f2ab2ebcbc57f1066b8b3b
Conference,5267e4d9e4b0ec79466e48c6
Convention,5267e4d9e4b0ec79466e48c9
Festival,5267e4d9e4b0ec79466e48c7
Line / Queue,58daa1558bbb0b01f18ec1fa
Music Festival,5267e4d9e4b0ec79466e48d1
Other Event,5267e4d9e4b0ec79466e48c8
Parade,52741d85e4b0d5d1e3c6a6d9
Sporting Event,5bae9231bedf3950379f89c5
Stoop Sale,52f2ab2ebcbc57f1066b8b54
Street Fair,5267e4d8e4b0ec79466e48c5
Trade Fair,5bae9231bedf3950379f89c3
Food,4d4b7105d754a06374d81259
Afghan Restaurant,503288ae91d4c4b30a586d67
African Restaurant,4bf58dd8d48988d1c8941735
Ethiopian Restaurant,4bf58dd8d48988d10a941735
American Restaurant,4bf58dd8d48988d14e941735
New American Restaurant,4bf58dd8d48988d157941735
Asian Restaurant,4bf58dd8d48988d142941735
Burmese Restaurant,56aa371be4b08b9a8d573568
Cambodian Restaurant,52e81612bcbc57f1066b7a03
Chinese Restaurant,4bf58dd8d48988d145941735
Anhui Restaurant,52af3a5e3cf9994f4e043bea
Beijing Restaurant,52af3a723cf9994f4e043bec
Cantonese Restaurant,52af3a7c3cf9994f4e043bed
Cha Chaan Teng,58daa1558bbb0b01f18ec1d3
Chinese Aristocrat Restaurant,52af3a673cf9994f4e043beb
Chinese Breakfast Place,52af3a903cf9994f4e043bee
Dim Sum Restaurant,4bf58dd8d48988d1f5931735
Dongbei Restaurant,52af3a9f3cf9994f4e043bef
Fujian Restaurant,52af3aaa3cf9994f4e043bf0
Guizhou Restaurant,52af3ab53cf9994f4e043bf1
Hainan Restaurant,52af3abe3cf9994f4e043bf2
Hakka Restaurant,52af3ac83cf9994f4e043bf3
Henan Restaurant,52af3ad23cf9994f4e043bf4
Hong Kong Restaurant,52af3add3cf9994f4e043bf5
Huaiyang Restaurant,52af3af23cf9994f4e043bf7
Hubei Restaurant,52af3ae63cf9994f4e043bf6
Hunan Restaurant,52af3afc3cf9994f4e043bf8
Imperial Restaurant,52af3b053cf9994f4e043bf9
Jiangsu Restaurant,52af3b213cf9994f4e043bfa
